INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '6', '2021-04-09');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '6', '2021-04-09');

INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '20', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '20', '2021-03-15');

INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '21', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '21', '2021-03-15');

INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '22', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '22', '2021-03-15');

INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '1', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '2', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '3', '23', '2021-03-15');
INSERT INTO `usuarioactividad` (`idUsuarioActividad`, `idActividad`, `idUsuario`, `fechaActividad`) VALUES (NULL, '4', '23', '2021-03-15');
